# analysis 25299 -p8 -GP -d3.9 -u40 -U150 -y65 -Y110 -o 25299.out 
# Crop window: [0, 511; 65, 110] Normalization: 0.912798		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25299          0.000000e+00 3.486e+02 2.529e+03 2.422e-01 1.299e+06 2.200e-08 1.495e+04  2.552e+02  4.357e+01  0.000e+00  1.629e+01  9.735e+00 2.608e+02 7.107e+01 2.565e+02 3.700e+01
# error                     0 4.690e+00         0         0 3.278e+04 1.000e-03  2.945e-01  3.922e-01  1.000e-03          0         0 2.019e+01
# 
# z    intNum       Fit     Error       Res
1.990e+02  7.073e+03  2.828e+03  6.140e+02  4.246e+03
2.000e+02  4.215e+03  2.999e+03  6.272e+02  1.216e+03
2.010e+02  5.355e+03  3.177e+03  6.436e+02  2.178e+03
2.020e+02  2.872e+03  3.362e+03  6.531e+02 -4.900e+02
2.030e+02  4.634e+03  3.554e+03  6.459e+02  1.080e+03
2.040e+02  6.368e+03  3.753e+03  6.302e+02  2.615e+03
2.050e+02  6.513e+03  3.959e+03  6.555e+02  2.554e+03
2.060e+02  5.944e+03  4.172e+03  6.617e+02  1.773e+03
2.070e+02  4.425e+03  4.392e+03  6.569e+02  3.373e+01
2.080e+02  3.732e+03  4.618e+03  6.379e+02 -8.861e+02
2.090e+02  5.626e+03  4.851e+03  6.529e+02  7.747e+02
2.100e+02  3.656e+03  5.091e+03  6.589e+02 -1.434e+03
2.110e+02  3.821e+03  5.336e+03  6.656e+02 -1.515e+03
2.120e+02  2.415e+03  5.588e+03  6.584e+02 -3.173e+03
2.130e+02  5.249e+03  5.845e+03  6.490e+02 -5.958e+02
2.140e+02  5.938e+03  6.108e+03  6.845e+02 -1.699e+02
2.150e+02  4.938e+03  6.375e+03  6.707e+02 -1.438e+03
2.160e+02  4.850e+03  6.648e+03  7.151e+02 -1.798e+03
