# /home/yihan/monitor/analysis 25244 -u20 -U150 -p8 -y85 -Y93 -GP -d 3.9 -q 0.874342 
# Crop window: [0, 511; 85, 93] Normalization: 0.908168		a * exp (-((x - x0)/b)^2) + c	PPCI
#filename              param    radius     sigma   contast         N    Ttherm         a         x0          b          c     radial      scatt       CoM     Width    Median  MedWidth
# 25244          8.743420e-01 4.000e+01 2.163e+03 1.591e+00 -6.863e+05 2.897e-10 8.063e+03  4.945e+02  5.000e+00  0.000e+00  1.681e+01  3.654e-02 2.634e+02 1.552e+02 5.000e-01 0.000e+00
# error                     0 3.956e+02         0         0 1.549e+04 1.000e-03  8.152e+02  4.945e+01  1.000e-03          0         0 4.699e+01
# 
# z    intNum       Fit     Error       Res
3.200e+02 -9.217e+02  0.000e+00  2.175e+02 -9.217e+02
3.210e+02 -1.207e+03  0.000e+00  2.104e+02 -1.207e+03
3.220e+02 -2.077e+03  0.000e+00  2.254e+02 -2.077e+03
3.230e+02 -1.336e+03  0.000e+00  2.100e+02 -1.336e+03
3.240e+02 -2.844e+03  0.000e+00  2.271e+02 -2.844e+03
3.250e+02 -2.735e+03  0.000e+00  2.365e+02 -2.735e+03
3.260e+02 -1.485e+03  0.000e+00  2.303e+02 -1.485e+03
3.270e+02 -7.228e+02  0.000e+00  2.182e+02 -7.228e+02
3.280e+02 -1.726e+03  0.000e+00  2.215e+02 -1.726e+03
3.290e+02 -5.685e+02  0.000e+00  2.123e+02 -5.685e+02
3.300e+02 -4.231e+02  0.000e+00  2.109e+02 -4.231e+02
3.310e+02 -9.110e+02  0.000e+00  2.106e+02 -9.110e+02
3.320e+02 -2.382e+03  0.000e+00  2.257e+02 -2.382e+03
3.330e+02 -2.547e+03  0.000e+00  2.316e+02 -2.547e+03
3.340e+02 -2.359e+03  0.000e+00  2.325e+02 -2.359e+03
3.350e+02 -2.753e+03  0.000e+00  2.432e+02 -2.753e+03
3.360e+02 -1.314e+03  0.000e+00  2.383e+02 -1.314e+03
3.370e+02 -8.791e+02  0.000e+00  2.421e+02 -8.791e+02
3.380e+02 -6.259e+01  0.000e+00  2.270e+02 -6.259e+01
